Description$Keywords
five$five
rosalie atletic generous gentl strong funny smart pretty encouraging honest loyal energetic$rosalie, gentl, atletic, loyal, energetic
one day friend lucie dump something happened elle friend near heard lucie cry walked lucie smile face sat told okay worry watched whole thing made friend happy person$lucie, elle, friend, dump, worry
one day friend house dad going get nerf gun friend playing basket ball dad going get new nerf gun got home got nerf gun$nerf, gun, dad, going, got
one day mom packing trip helped pack handed clothes put suitcase thankful happy helped tired helped even tired put away lot clothes helped pack shoe thing$helped, pack, tired, clothes, suitcase
one day mom tired clean whole house decided help could done faster mom surprised started cleaning getting everything done really fast done way faster mom clean mom thankful glad helped$faster, done, mom, clean, glad
one day mom pregnant friend found baby longer heartbeat soon found called mom remember much one thing remember went straight hospital mom wanted help get home husband deployed completely alone good part donated baby stuff homeless could afford stuff baby went movie try cheer husband came home break news$baby, husband, mom, remember, stuff
one day mother sick flu take care ittle brother becuase also sick instead took care mom could relax$sick, ittle, flu, becuase, care
one day sister told right wrong better person started saying thing like help person something else$person, wrong, saying, else, right
one day sister crawling little helped crawl learn$crawling, crawl, learn, sister, helped
one day nick playing game friend jaxon wanted go side play football hour later still together big bully came said nick give football one day would something really really bad jaxon said yes night nick said night mom scared go bed want bully come nd really rude jaxon next day nick jaxon meet going meet bully bully showed gave fake football walked away found nice bully back ate nick jaxon made bully club many people want stop bulling please one stop bulling$jaxon, nick, bully, football, bulling
one day turtle happy turtle lived alone one day could see felt sad told dad buy another turtle girl said yes went pet store found pretty turtle named annabelle told dad buy baby shrimp turtle eat said yes went home load stuff turtle finally happy$turtle, yes, buy, annabelle, shrimp
one day got class went teacher asked could random kindness said yes went got piece paper wrote letter leave library book also wrote letter someone gave person directly read liked$letter, wrote, library, directly, got
one day saw someone seemed really upset didnt friend went asked hey want friend said made day best one ever$didnt, hey, upset, seemed, friend
one day took metro give seat woman baby felt uncomfortable surrounded many people started cry started make funny face gave back smile$metro, surrounded, started, uncomfortable, seat
one day walking street saw man feeding poor yuong lady dirty bread idea happened let man give bread healthy went girl threw bred away started cry tried calm giving lollypop understand long sentenses like look candy candy sweet young lady understood said took lollypop sarted laugh found adress around neck thinking home went knocked door woman opened door asked know said heard someone saying wait woman closed door quickly knocked woman opened angry told know lady said annoying lady started cry woman tried close door time stopped second later guy came hey know lady said older sister saved car accident got hospital becae like sister stopped cry hugged younger brother wanted give money refused want money sir said need see peaple happy walked away lady followed gave lollypop said thank take candy came back appartement$lady, lollypop, said, door, woman
one day brought little sister school arrived wait minute outside asked friend wanted play tag sister said yes played together couple minute bunch kid joined started massive tag game much fun$tag, minute, sister, massive, joined
one day decide go biking minute later realize much waste street pick nearly seven put trash proud think every people everyday case hope soon$biking, seven, waste, decide, case
one day building tunel side road brother told car pass would jump head first car passed jumped tunel quickly everything collapsed probably breathe anymore even moving quickly started digging could get went back home explain everything parent$tunel, quickly, car, everything, digging
one day school playing recess saw girl cruches looking sad got closer see kif needed help talked helped enter school go cafeteria etc later day said help came home happy told self thatr helful made day better$thatr, kif, helful, cruches, cafeteria
one day outside feeling generous put glove grabbed bag began picking trash helping someone someone helping helping world may seem gross knew helping everyone earth feel better also food eat save world people love help pick trash every day try least twice year imagine everyone picking piece trash help$helping, trash, picking, gross, everyone
one day third grade new girl named angel one talking new remember cry friend jessica went asked ok reply friend decided sit become friend end became best friend still best friend$friend, new, reply, best, jessica
one day third grade friend playing tag girl named emma sitting corner watching u play tag started walk direction ask play tag u walking girl came started making fun decided brace stood front mean girl asked wanted play u$tag, play, girl, emma, brace
one day cousin went get pizza family saw homeless person ordered extra pizza soda bread stick gave homeless man another time one closest friend ordered hamburger bought lot candy took downtown la vega give homeless$ordered, homeless, pizza, vega, hamburger
one day dad hanging talking day talking saw little girl cry bike see fairly often like ride bike around block walked asked happened said crashed fallen bike scratched knee helped dad truck drove house arrived went door told older sister happened made u feel really good able help$bike, happened, talking, scratched, dad
one day family decided something nice went fast food place ordered hamburger received took feed homeless people happy$hamburger, ordered, feed, fast, received
one day friend jose came class late injured foot crutch trying get stuff class watching announcement saw jose struggling ran help asked could get pencil case got brought desk$jose, class, crutch, announcement, injured
one day mom bought grocery homeless man son outside trader joe appreciative grateful taught important thing like le fortunate people$trader, joe, appreciative, fortunate, le
one day mom went show end walking car homeless man walked u asked something give gave five dollar looked like saving life never forget big smile ever$saving, forget, dollar, five, walked
one day mom driving grandma house excited staying night grandma weekend driving neighborhood mom spotted something corner eye toddler middle street mom pediatric intensive care unit nurse almost instinctively jumped car carried child onto safety street saw someone door wide open rang doorbell parent child grateful relieved always remember day example$driving, grandma, mom, street, toddler
one day alone previewed someone played whit friend got closer asked name name frederic introduced friend accepted played together longtime even today despite squabble still friend always play together whit friend$whit, played, friend, squabble, previewed
one evening mom bunch work also make cake family decided help already busy wanted make cake fast would time work told help make cake even tho ask help happy hear accepted proud made cake together turned wonderful shocked made cake life cake delicious help quite easy fast$cake, fast, help, make, tho
one morning eating breakfast thinking way surprise parent came going make breakfast happy made happy suggest try make parent day excellent c$breakfast, suggest, parent, excellent, happy
one morning playing game pigeon one friend lose knew wanted win take dub chance win take let take dub make feel good$dub, win, take, pigeon, lose
one morning walking work saw older woman sitting ledge building shivering looked absolutely miserable took coat gave another coat office block away knew big deal could make life little better$coat, ledge, miserable, shivering, block
one morning mom came across website sign k run donate cancer soon mom heard idea loved told wanted three year every year get really excited mean let honest sad helping people cancer either run walk run every year good exercising helping cure cancer run start close west chester street run fun throughout way people live west chester outside front yard cheering u make u feel good glad run every year make feel good helping people cancer$run, cancer, chester, west, helping
one night found cat fed homeless found food cat eat roof head half day old picture back hope cat okay home feel good treated cat helped thank reading story$cat, found, fed, roof, treated
one one pet bunny mocha make feel comfortable always always make life lot better pledge keep safe sound house going outside never know next$mocha, bunny, pledge, comfortable, sound
one coworkers daughter sick hospital losing hair doctor struggled find wrong help coworker made family baked ziti bought daughter cute headband could wear coworker daughter thankful still card photo oh daughter hospital wearing headband$daughter, headband, coworker, hospital, ziti
one grandson best friend played band freshman football team fall football player eat cafeteria special education student last week one special education student got angry turned wheel chair young th grader grandson friend ran help turned chair right side made sure young girl okay helped get back chair story every grandma like hear$chair, football, grandson, education, turned
one peaceful day went mall opened door people second hand full grocery new clothes felt chose story helped people even know maybe would like help$peaceful, mall, chose, maybe, clothes
one quiet day rehoboth beach family grandparent almost dinnertime decided take walk scooter ride around neighborhood fun riding scooter sister started tell ride scooter like skateboard looked like fun easy tried good first try second try fell got scraped sharp sidewalk oh family screamed scrape blossoming fresh blood every second dad held quickly tried walk back house got whole family supported got scrape clean bandaged helpfulness persistence helped feel whole lot better inside action really generous$scooter, scrape, ride, got, second
one smile$smile, one
one thing brother truly warmed heart came home work around eat pancake father made earlier low food time already eaten dinner nothing really left eat said loud hungry gave pancake touched heart knew hungry money get food store plus say hungry get pancake speaking mind also surprised brother always good showing loving side one unexpected sweetest thing brother done$pancake, hungry, brother, eat, heart
one time friend name lily sad dog wanted make happy try best friend made funny joke stoped cry made happy side thank best friend made happy$happy, made, lily, stoped, friend
one time girl well school boy started making fun name sign girl told teacher boy said stayed quiet none would ever happen girl stood tell grown felt happy could$girl, boy, none, grown, stayed
one time got couple drink even though heavy backpack carried home brother$heavy, backpack, carried, drink, couple
one time helped friend study test got got ice cream$got, test, cream, ice, study
one time met new kid brown said new nicest guy ever friendly said would like sit said maybe elementary school ton shy people asked wanted play soccer soccer main thing elementary school said want join group said yes became good friend name austin pasindu also said coolest people ever day still friend$said, soccer, elementary, pasindu, ever
one time opened door lady restaurant say thank back got mad people need say thank something else make want$say, thank, mad, restaurant, opened
one time saw boy hold mother grocery bag mother huge smile face$mother, huge, hold, boy, grocery
one time saw little boy help elderly stair$stair, elderly, boy, saw, little
one time saw kid get bullied bully leave alone punched jumped stopped fight left helped foot$punched, jumped, bully, bullied, foot
one time themepark waterpark covid roller coaster got saw someone really nice shirt said wow shirt really cool nice yeah$shirt, waterpark, themepark, coaster, nice
one time church wanted help teacher class wanted help give food also put chair kid sit everytime someone say verse bible correctly pas candy also help computer screen help put screen$screen, help, verse, put, everytime
one time movie theater movie start right movie started told dad hungry dad gave money go back buy something went get churros gave man working money buy something gave money said enough money sister looked looked back man said okay pay rest sister said thank much sister went back watch movie great$movie, money, sister, gave, back
one time hospital young lost hulk figure doctor gave back$hulk, figure, doctor, hospital, lost
one time someone helped sister fall asleep cruise kept saying felt stretchy tried calm working decided sing soft song knew would start fall asleep soon soon enough lucky beautiful young adorable sister$asleep, fall, soon, stretchy, cruise
one time someone bullying student tripping spilling lunch rd day knew bullied next day waked way table bully tried trip moved reach got table reported bullying teacher$bullying, table, waked, tripping, spilling
one time soo made dinner mom$soo, dinner, mom, made, time
one time walking around grocery store saw old man could reach noodle got happy baught candy bar$noodle, baught, bar, reach, candy
one time walking dog someone walking next walking mail opened mail box paper fell went go help said thank said welcome also another one lot dog freaking went go ask whole neighbor hood someone said saw took animal shelter said thank random act kindness$mail, walking, said, dog, freaking
one time th grade raising money get new projector school gym last day took money account already took$projector, money, took, gym, raising
one time class test class never count report card friend sitting behind pencil asked could lend mine one pencil thougt told really great bt really well math test gave pencil test really generous$test, pencil, really, class, thougt
one time school feel hurt self walked nurse student asked okay said felt better told okay smiled made smile$okay, nurse, smiled, hurt, self
one time dad store lady lot bag went helped self check done returned kindness u giving u hug buying u anything wanted store$store, returned, buying, check, self
one time mom putting bag truck pouring saw elderly lady trying bag car struggling mom helped helped$bag, helped, pouring, mom, truck
one time mom putting bag truck pouring saw elderly lady trying bag car struggling mom helped helped$bag, helped, pouring, mom, truck
one time brother inuf money get play stashon controller gave money able buy one happy$stashon, inuf, controller, money, buy
one time cousin got hurt went help brought room put bed gave bandage next day better end$bandage, cousin, bed, hurt, room
one time cousin hard time homework decided give hand help assignment$assignment, homework, cousin, time, hand
one time friend really bad week happened also testing week getting really stressed decided buy small gift throughout rest week day hard time give small chocolate candy nice note still ever feeling bad always make smile give$week, bad, small, stressed, testing
one time friend making fun fat angry sad wanted express deep anger friend remember kindness key rather bought box chocolate say let fat together since became best friend$fat, friend, anger, key, express
one time sister sad could find stuff helped happy helped find something$find, helped, stuff, sad, sister
one time christmas parent bought sister tablet sister tablet one removable keyboard mine normal one lagged lot$tablet, removable, lagged, keyboard, sister
one time somebody bag filled stuff needed go inside opened door$somebody, filled, opened, inside, bag
one time someone droped cran helped pick droped mine pile shared cran$droped, cran, pile, shared, mine
one time someone dropped stuff music picking stuff one helping helped pick stuff thanked helping picking music binder told$stuff, picking, music, helping, binder
one time someone payed food really hungry mean really hungry hadnt eaten hour bought chik fil someone mother thought$hungry, hadnt, fil, chik, payed
one time someone trouble listening teacher asked teacher repeat direction still hear teacher spent minute explaining direction$direction, teacher, explaining, repeat, listening
one time someone new school friend walk said want friend said yes best friend name kaitlin think made day$kaitlin, friend, said, yes, walk
one time person front short couple dollar mom paid rest bill$bill, short, dollar, couple, rest
one time girl cry got test went said cry said got said cry amazing score proud proud next test believe self get said$cry, test, said, proud, score
one time girl recess third grade tripped helped played$tripped, recess, third, played, grade
one time old lady walking local smith putting grocery away seems like needed help got done putting grocery put away cart made feel good$putting, grocery, away, smith, cart
one time one kid bullying friend amya called joined game helped reported bully helped situation helped getting trouble game turn person kicked banned game$game, helped, banned, amya, kicked
one time first joined gym girl came asked wanted partner said yes became friend immediately nice$gym, partner, joined, immediately, yes
one time church sitting friend right heater favorite seat people would want sit one girl ward came late never really friend people class hardly ever came came sat back knew needed left thought best seat class sat back girl late sat back hoped friend would come sit one one would sit sat looked toward front room teacher looking eye full tear smiled went lesson happy made choice go sit even meant leaving best seat class even one else would sit happy class teacher came said thank thank sitting one else would thank church go helping others right thing many people world need someone sit church jesus christ later day saint promise lost need friend go church fill loved mabey church thing would like ask read book mormon$sit, church, sat, seat, would
one time sister soccer practice big indoor room lot soccer game going waiting sister practice bought bag chip herd final buzzer realized finnlay hour practice realized dad enough buy chip decided thing back leave held open door realized felt good held open everyone saw coming night felt really good$practice, realized, soccer, chip, held
one time camping dock fishing random people ran bait went camper get bait grandpa gave kept running bait would go back dident know grandparent new people saw one day one time grandpa came dock people grandpa started talking became friend ran bait gave u live bait grandpa impressed cool live bait next day went store bought bait live bait bucket returned people ran bait gave u saved u alot money bait even let u use fishing net expenesive expensive also saved alot money alot fun make friend go fishing$bait, grandpa, fishing, alot, dock
one time friendly playing claw machine lady wheel chair trying open door struggling ran opened door held hand let felt really good inside$door, claw, wheel, chair, machine
one time friendly playing claw machine lady wheel chair trying open door struggling ran opened door held hand let felt really good inside$door, claw, wheel, chair, machine
one time bus one girl would sit alone day every day one day said want sit said yes next day said friend new girl friend day still friend$day, sit, said, girl, friend
one upon time didier monkey wanted help friend didier know help l help one hour later monkey found paul crocrodile paul best friend crocrodile moving seemed trouble transporting moving box didier monkey idea help paul moving paul accept help didier really happy helped friend end$didier, paul, monkey, moving, crocrodile
one helped mom cleaning living room happy happy helped mom encourage$helped, happy, mom, encourage, cleaning
eldest child anne age beautiful loving mum three child prior boy birth sad year experiencing three miscarraiges soon first miscarriage began ministry church called basket ministry inside beautiful basket creates candle prayer card chocolate china tea cup rosary beautiful book entitled miscarriage recently made one young mum lost full term baby boy daughter one angel walk world one goal make difference reaching hurting blessed met many wonderful family lost moment grief appreciated daughter warm way listening opened heart travel sunshine coast resides powell river deliver basket occassions husband blessed offer delivery service busy working rn mum busy grandson also work youth minister teenager town reach many difficult situation home blessed inspiring child continues teach u action speak loving word others sincerely dan kathryn sickavish burnaby bc$basket, mum, blessed, ministry, miscarriage
elementary school fort worth texas celebrated rak week week early due scheduling issue day theme shared announcement monday word day tuesday look people eye smile day wednesday pick trash day thursday share note kindness everyone day friday create rak day student caught participating rewarded kindness coin loved staff given chance rak bulletin board lounge said hsa bubblicious sticky note bubble gum color available write note participated every rak special day week school year starting see difference child staff next goal get participate raking every day designated day$rak, day, note, week, staff
family friend cancer although neighborhood family huge collection going around family donated husband suggested thing personal connection mission mind immediately ran sporting good store buy pompom hat matching fuzzy sock also letting borrow copy movie watch chemo making homemade dessert bringing note every week gotten many thank text friend said spoiled best friend close time truly love ethan year younger son could use much help possible feel better went last week house great happy conversation ethan thanked everything felt great made glad could make feel little better told thanks necessary smiled looked hairless head thinking body realize put smile face hardest time young life could change world one mini banana chocolate chip muffin time$ethan, could, family, sporting, pompom
family purchased three min virtual visit santa came way engage others random act kindness randomly gifting three visit created colouring contest open child age edmonton surrounding area step download merry bright picture print step child colour get add picture word hope kindness step take picture submit step place picture plastic ziploc bag wait hour give random neighbor mailbox december th picture submitted put random draw three random name pulled win virtual min visit santa extend giving also provided three story time visit mr claus gifted three runner child win received small gift appreciation paying forward definitely put smile face able give something time lot restricted taken away due covid$picture, three, step, visit, random
kindergarten student west bainbridge elementary school bainbridge ga participated can day th day school student collected can donated two local food bank$bainbridge, student, ga, west, participated
people met would say grandpa inspiring consistantly show act kindness one come mind furnace went early morning knew house fixed furnice repair man could even call u back$furnice, furnace, consistantly, repair, fixed
love sister dog added new credit card receive care needed even though approved unfortunately valid form id yet card possession veterinary staff could accept payment neither one u money decided call boyfriend brother excellent sale executive excels explained situation loaned$card, veterinary, loaned, excels, approved
spring break decided take time go new orleans volunteer volunteering high school requirement even know requirement week ago volunteering fun make feel good feel like making impact someone life better one day new orleans volunteered urban garden understaffed grateful help kid trip talkative bit ignorant work people started working woman tried talking kid work decided talk sweet learned lot small conversation could also tell small conversation grateful talked excited conversation vice versa may small moment inteneded kindness feel genuine way show kindness spurr moment force thing end fulfilling goal dreading entire time want amazing thing kindness person done feel grateful also feel good$feel, requirement, orleans, conversation, grateful
spring break kindness neighbor actually completed neighbor kindness easter sister received chocolate candy neighbor never received anything neighbor lived house four year truly random kindness decided write neighbor thank note gift gave u return gave chocolate bar england happy made effort write thank note said expect anything return made happy happy random kindness like everytime see outside wave say hello sometimes bring garbage can collect newspaper driveway show one kindness lead many little kindness go long way$neighbor, kindness, chocolate, return, write
course spring break went visit college stayed town gettysburg two day bed breakfast eating breakfast met vietnam veteran talked poorly veteran treated returning home war especially vietnam generation talk understood suffering veteran go returning war thanked man service taking time talk later day family left gettysburg headed maryland approaching baltimore saw homeless man side highway man holding sign said homeless veteran please help driving car decided pull man walked car handed dollar bill thanked service said thanks lot said meant lot$veteran, gettysburg, vietnam, man, returning
past year eye bit open opportunity show little kindness others easy way compliment someone never know people going day something like really brighten someone day one particular time though lead something never done picking something local cv young man front buying item credit card declined several time walk store said hey wait let get shocked cashier thanked left store cashier said wow store year never seen anyone every one u make difference world change start u individual reaching community showing little bit kindness$store, cashier, never, something, bit
weekend got license friend jennie got nail done went dinner paid nail offered drive minute away grandparent house$nail, jennie, license, got, weekend
owing covid family illness nearly three year since last uk found last night departure lounge montpellier airport refused boarding easyjet flight london went state shock utter panic one another would passenger refused boarding put booking number instead flight number passenger locator form easyjet employee adamant board could form altered new form filed line two tech befuddled brit seemed impossible task minute remaining gate closed enter chloe young woman nice first offered u wif fi connection phone time register use airport wi fi fellow panic striken brit announced dyslexic matter said chloe completed form done considerable grace pressure second spare form uploaded phone boarding officals waved u though thanks great kindness would get see mum plenty thing long since postponed$form, boarding, panic, fi, easyjet
people normal act kindness like helping grandfather grandmother people friend u year ago u wanted help study cancer organised little shop old toy used winning money gived investigation cancer every friday went child park sell every friday collecting money people needed get enough money treat sick child end everything effort achieved finally got toy sell gave child cannot buy toy thanks u investigation growing$investigation, toy, sell, child, money
people nice life like parent always take care since day one anything would put mother$since, anything, mother, parent, care
prepared virtual thank card cheer soldier protecting border last weekend great experience writing note complete stranger nation indebted admiring added tidbit like amazing proud end note bring smile face hope card make happy moment receive$note, card, tidbit, soldier, indebted
pull vintage clothes old halloween costume ugly christmas sweater put fun spin next video call take picture share others encourage fun$fun, vintage, ugly, spin, costume
randam$randam
read book enjoyed write nice comment author telling liked book lucky reply comment$comment, book, reply, author, enjoyed
realizing two self centered millennials often focused ahead instead around u created series step way become kinder empathetic people based step program designed change behavior took vow complete month resolution last january one step per month also designed experiment others participate sort modern day non religious way one attempt examine life apathy attempt become kinder many article book belief become kinder people often really put practice literally attempted try many popular idiom quick run step step help gain empathy perspective talking stranger different situation went asked new yorkers one simple question help step open eye bystander apathy phenomenon prevalent nyc hung missing people sign sat next anyone notice thing dog step switch always people bother u situation try avoid due selfishness job could kinder future step beat jessie talk mental health issue talk woman issue past beat way handled thing past tried forgive experience opening step forgive forget went search biological father never met faced painful past experience someone hurt u deeply let go pain misunderstanding gain compassion confronting step face jessie confronts fear becoming mother shave head fear going bald everyone fear insecurity often hide behind judging others took major personal insecurity faced head step kill kindness say ultimate compassion learn love enemy tried better understand someone get along something nice step walk mile shoe jessie understand religion went exploratory participated kind practice catholicism buddhism scientology etc easy judge lifestyle decision like understand participated liveliness others way learn lifestyle step go big go home tim drove home hour thanksgiving surprise mother dinner always neglect people closest picked one special person life commonly neglect something nice step pay forward left wallet nyc money little note asking recipient one thing also delivered random act kindness people street step wear smile eight hour straight walked around nyc smiled every person came across could make smile could bring moment happiness life step dive deep last step going dive deep learned try something much larger open platform start dialogue micro website base global issue happening check tim jessie kind kindness project$step, jessie, kinder, nyc, fear
realizing two self centered millennials often focused ahead instead around u created series step way become kinder empathetic people based step program designed change behavior took vow complete month resolution last january one step per month also designed experiment others participate sort modern day non religious way one attempt examine life apathy attempt become kinder many article book belief become kinder people often really put practice literally attempted try many popular idiom kindness one thing ability share free feel great within control difficult time become le judgmental others generation tends see want see hear want hear surround people share experience taste countless scientific study newspaper article religious text self help book tried help u become kinder people often really put advice practice quick run step step help gain empathy perspective talking stranger different situation went asked new yorkers one simple question help step open eye bystander apathy phenomenon prevalent nyc hung missing people sign sat next anyone notice thing dog step switch always people bother u situation try avoid due selfishness job could kinder future step beat jessie talk mental health issue talk woman issue past beat way handled thing past tried forgive experience opening step forgive forget went search biological father never met faced painful past experience someone hurt u deeply let go pain misunderstanding gain compassion confronting step face jessie confronts fear becoming mother shave head fear going bald everyone fear insecurity often hide behind judging others took major personal insecurity faced head step kill kindness say ultimate compassion learn love enemy tried better understand someone get along something nice step walk mile shoe jessie understand religion went exploratory participated kind practice catholicism buddhism scientology etc easy judge lifestyle decision like understand participated liveliness others way learn lifestyle step go big go home tim drove home hour thanksgiving surprise mother dinner always neglect people closest picked one special person life commonly neglect something nice step pay forward left wallet nyc money little note asking reciepient one thing also delivered random act kindness people street step wear smile eight hour straight walked around nyc smiled every person came across could make smile could bring moment happiness life step dive deep last step going dive deep learned try something much larger open platform start dialogue micro website base global issue happening$step, kinder, become, jessie, nyc
really great teaching happen diane worked diligently become great teacher parent human right middle quest diane found cancer raising two little child teaching option cure cancer failed started process leave earth knowing diane loved flower friend coworker nancy orchestrated planting beautiful garden right outside diane window coworkers came went plant water tend garden diane watched smiled end came act kindness stop little boy saw result held heart adulthood$diane, garden, teaching, cancer, right
really great teaching happen diane worked diligently become great teacher parent human right middle quest diane found cancer raising two little child teaching option cure cancer failed started process leave earth knowing diane loved flower friend coworker nancy orchestrated planting beautiful garden right outside diane window coworkers came went plant water tend garden diane watched smiled end came act kindness stop little boy saw result held heart adulthood$diane, garden, teaching, cancer, right
recently received one thoughtful gift colleague friend retired june th started working together school four year ago developed great friendship last week contacted let know gift wanted give made plan get together walk arrived place brought gift bag said video show two colleague promised show reaction opened gift bag found lovely scarf small print familiar owned couple scarf looked similar shakespeare play printed called litograph scarf assumed kindness quote regularly promote kindness school told read looked closely discovered text child book written kindness printed scarf already tear read could say thoughtful gift ever received$scarf, gift, printed, colleague, thoughtful
recently sister got sick weekend helped take care got water bathroom throwing also got wet towel head laid rest sister pretty mean time still wanted help$got, laid, sister, wet, throwing
recently community experienced tragic loss mother baby died felt sorry family decided make blanket cheer big group girl got together make blanket still felt like thing family decided heart attack mean cutting bunch heart taping somebody door show much cared also made cooky bought stuffed animal done preparation drove house pasted heart front porch rang doorbell opened door started tearing told ever needed something even friend would$blanket, heart, taping, preparation, pasted
recently going mcdonalds drive thru woman front paid bill truly random opportunity thank person drove away wonderful feeling thank$mcdonalds, thank, thru, bill, drove
right everything going pandemic think nobody happier number sick people increasing every day getting worse worse school restaurant nursery closed except grocery store pharmacy course hospital important know long stay like depends u protective gear increase go back school lot thing bring joy people drawing rainbow writing going fine sticking window brings hapiness hope people pas house$worse, nursery, increasing, gear, sticking
rip prince philly miss u xx$rip, xx, philly, prince, miss
robert f smith totally blind year ago started quest act kindness clue footstep would take one journey walk long beach california la vega accomplished task walking raised fund child needed service dog mission accomplished also passed sock puppet child ill library school addition passed flag free concert veteran quest travelin step one month robert decided reach blind people engage act kindness met jennefer bautista also totally blind lived philippine dream help local orphanage robert jennefer started work immediately however thing changed found teen abandoned age two suffered severe ear infection left partially deaf addition sophia diagnosed severe heart condition unless fixed much time live robert jennefer started working together robert even started go fund page well started raising fund facebook seven day later accomplished amazing thing got dr judah gozar arranged$robert, jennefer, accomplished, blind, started
send letter card mail child child niece nephew grandchild godchild love get mail brighten day remember kid job go mailbox collect mail always excited understand parent feel way little realize mostly bill advertisement time remember hoping find something name come admit thing mind started sending year old niece random card letter mail young email address telephone good way u keep touch first card received huge surprise sister said made day stop smiling talked right bed time sent small halloween card sticker week know get huge grin face see name envelope already consider sending child life card note holiday birthday certainly surprise put smile face receive card groundhog day fourth july first card asked niece become pen pal say open mailbox feel like kid waiting something special name$card, mail, niece, mailbox, sending
sending friend good message$sending, message, good, friend
shark beautiful creature one important specie marine wildlife ecosystem also endangered one misunderstood animal earth shark deadly creature slicing sharp teeth huge eye see everything even thing human sleek fin slice water silence amazing striking stop heart literally fin beautiful like said sleek striking make shark swim imperceptible speed stillness human think shark dangerous deadly disgusting kill people know shark attack world happening right terrible shark mean see thing make even confusing hungry food source dead rising acidity level ocean around world see body shaped like seal likely black suit strike starving body pushed limit find food finally getting good hearty meal offense shark realize thing bit regular food source taste right let go eventually struggle swim away human obviously bat away pain excruciating try poke eye even hit nose smell fresh blood make shark infuriated clench tighter pain eye mainly human rarely get eaten mainly shark almost death starvation time human get away serious injury even le serious injury right shark food source attack first place maybe would shark really hungry almost dead starvation personally love shark hate people catch cut fin gill throw back water practically watch know heart shark suffering slow horribly painful death make heart hurt shark fin cure deadly disease say nicest way would already cancer spreading day family member cancer best friend many family member different kind cancer helping stop cutting fin beautiful misunderstood shark demand reason make sick cutting fin shark money end fun hong kong china south america huge contributor american oregon two shark finning business selling shark fin soup product involving shark american cut fin let shark go die slowly painfully sell product china country neighboring one pay lot money thousand dollar know shark finning business make money many family way natural healthy involve endangered specie shark thrown sea without fin cause die slow horrifically painful death make cringe inside honestly ate shark fin soup make feel better would get sick shark need help need help also getting word year old turning month hear time wasting time kid know anything go back barbie doll magazine hurt mainly use fuel insanely passionate marine conservation never stop think shark finning marine conservation shark finning stopped$shark, fin, finning, human, mainly
really nice visiting cooked big lunch twenty people seven people gave u rest took back home every time visit prepares favorite dessert grandmother best granny world$prepares, granny, twenty, dessert, seven
front door opened could opened$opened, front, door, could
sierra always brightens day everyday feel sad always make happy sierra always make happy everyday$sierra, everyday, always, brightens, happy
since year old saved money giving child hospital money saved brings dollar$saved, money, brings, dollar, hospital
since coronavirus started everyone say fine wrote little text house parking chalk also draw three rainbow think people watched text rainbow happy really proud took challenge$text, rainbow, chalk, draw, coronavirus
since quarantine everyone bored important face time family friend bored make happy give something stay touch way facetime fun think right$bored, facetime, touch, quarantine, stay
sitting bed staring newborn son pride first time mum swam touched soft cheek ran hand pat back suddenly coughed shhhh whispered smiled sleep heart melted like butter sudden sadness swept within metre home massive orphanage full baby year age heart sunk imagined enough food clothes proper hand pat coughed sleep remembered$pat, coughed, sleep, hand, swept
got thing called sneaky card cause get comfort zone nice thing others thought sounded cool bought first card pulled deck opened said try new food decided try macaroni salad tasted felt great felt happy next day dropped mom took putt putt funhouse dropped place get mini golf club ball raktivists say happy easter may best party$putt, dropped, card, sounded, try
used work mother daycare summer oldest kid littler boy named wesley best friend little kid would always make fun syndrome type condition born sad felt bad went told little kid nice make fun people illness said way talk drupe act cool went wesley told show bos wesley went tell brave little boy nobody bring little child start feel bad like way felt started show ok illness different everyday go mother daycare always go see wesley new friend dance together sing together also talk everyone difference lesson treat people different illness made certain way$wesley, illness, daycare, little, kid
browsing reddit post came cute dog liked image gave upvote said hoped good day$upvote, reddit, browsing, image, hoped
th grade time saw lonely guy corner decided talk new school friend talked said friend said hey wanna friend said yes day still friend$friend, said, wanna, lonely, hey
class someone know something homework asked help helped$homework, class, asked, helped, something
school friend fell helped$fell, helped, school, friend
bus going home realized forgot math binder friend ava said borrow mine help finish math made feel relieved happy thought nice yes finish math homework one time bus science binder get bus got bus friend ava told left bus asked could come house drop said yes took time day also made feel relived happy cause could study get work done$bus, math, ava, binder, finish
walking mcdonalds get daily order came order accidently dropped soda dropped soda like sorry would like free chicken nugget said yes thank$soda, order, dropped, nugget, accidently
watching video little boy mom like ate candy went fridge like ate thesis food closed fridge walked mom said mad okay$fridge, ate, thesis, closed, mom
went class thing drop came help get thing wsa guy time$wsa, drop, thing, guy, class
woman ever unexpected visitor know stressful find without tampon pad started work know feel like situation also never know someone home life like affect one bathroom right plan adding month one filling anymore$know, tampon, pad, filling, stressful
saturday sunday know helped mom make breakfast family$saturday, sunday, breakfast, helped, mom
saturday sunday know helped mom make breakfast family$saturday, sunday, breakfast, helped, mom
last year grocery market finished grocery old man sitting outside asking money thinking give bit money gave old man money like dollar like gave dollar said god bless continue walk away call random act kindness$money, dollar, grocery, man, old
sister go school went group aryanna poole leader people every grade leader$leader, poole, aryanna, group, grade
xbox friend game except fortnite really gave$xbox, fortnite, except, game, gave
one day playing hockey best oldest friend fell scrped knee super bad helped walk nurse office waited outside door left office asked right went back class$office, scrped, waited, oldest, hockey
